name,roles,uuid,field_section_title,field_position_title,field_academic,field_staff_number,field_employment_year_title
AaronBibi,teacher,8a119abb-6f11-4f87-9c1e-30d2d7f64ff2,"Department of Pharmacognosy",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022030,2006/2007
AaronFraser,staff,09a20c75-5bac-4f37-9800-ce8fb57be2b4,"Faculty of Pharmacy",,0,PEDU0041667,2010/2011
AaronGiles,teacher,d0215fa5-72ea-4ff4-9630-48db875f235f,"Department of Chemistry",853c6bab-2240-2d24-d113-e6c8cc817d0a,1,PEDU0041306,2006/2007
AaronHolden,teacher,4d8f4ad1-a88f-4901-bf00-e61c06e7981b,"Department of Mental Health",853c6bab-2240-2d24-d113-e6c8cc817d0a,1,PEDU0017319,2006/2007
AaronRees,teacher,39577214-9afd-4f1b-a645-69995e1523cf,"Department of Clinical Pharmacy",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0022026,2006/2007
AbbieBlackburn,teacher,0c291754-30fa-4bed-945c-925c64aeba19,"Department of Periodontics Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041349,2006/2007
AbbieRead,secretary,a798ffd1-c701-4684-b800-005077a95082,"Department of Physiology",de0465c1-ba22-f1c4-555c-54bfec6cd14a,0,PEDU0041727,2007/2008
AbbieRoberts,staff,88a74d8c-b9e5-4014-8e17-231415d6dff8,"Department of Civil & Structural Engineering",,0,PEDU0041578,2008/2009
AbbieTaylor,secretary,301ffd95-7c7f-42d3-b400-e190c44cd70c,"Department of Microbiology",de0465c1-ba22-f1c4-555c-54bfec6cd14a,0,PEDU0041705,2006/2007
AbigailFlynn,staff,91a57523-8897-4116-a100-a434daa0b29d,"Department of Fine and Applied Art",,0,PEDU0041572,2007/2008
AbigailHancock,teacher,d9290d52-785a-4d20-b635-539a0e359229,"School of Dentistry",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041401,2006/2007
AbigailOliver,staff,8ec02807-f3da-4724-a700-dc3e9d3bfe9a,"Department of Computer Science",,0,PEDU0041561,2007/2008
AdamChamberlain,teacher,5659945b-dc9b-43a3-a000-ec89f5d6c808,"Department of Linguistics",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022085,2006/2007
AdamFuller,staff,a272462e-9bb8-43f3-9f5d-9310d850b648,"Department of Mathematics",,0,PEDU0041689,2010/2011
AidanCartwright,teacher,33a10e69-060c-458f-8a00-f91b8fd66457,"Department of Pharmaceutical Microbiology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022028,2006/2007
AidanFreeman,teacher,655931b2-8acf-4714-bb16-22d34c2159b3,"Department of Surgery",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0017324,2006/2007
AidanHanson,teacher,d9fbda0c-ae10-4aa6-ae13-19246eaa29b3,"Department of Anatomy",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0021996,2006/2007
AidanMiah,teacher,d7b205b4-f6a5-49ac-aa27-39fd9567a1a4,"Department of Fine and Applied Art",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022042,2006/2007
AimeeHumphries,secretary,a7dce3f1-2ca8-40a2-8500-aef145d2e0fc,"Department of Obsterics & Gynaecology",5bd40d68-a530-2d24-496c-f7d9e6be64ef,0,PEDU0041723,2007/2008
AlexanderBartlett,teacher,e424dd60-67a4-4ada-8e00-de2f4a7eb166,"Department of Surgery",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022078,2006/2007
AlexanderGardner,teacher,9d8c8f1d-f701-4e6a-ae00-b5d060c962fc,"Department of Geology",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022064,2006/2007
AlexanderHyde,teacher,cefd987b-0287-4365-9300-a62e27393c8f,"Department of Pharmaceutical Microbiology",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0022069,2006/2007
